timestamp,request_type,position,creative_type,kv_value
2022-03-11T17:06:58.421Z, static.video, static_iphone_320x480, video, mFSp75
2022-03-11T17:04:59.107Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T16:51:20.411Z, static.video, static_iphone_320x480, video, mVp26
2022-03-11T16:43:33.515Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T16:38:12.509Z, static.video, interstitial, video, mVp4
2022-03-11T16:22:28.147Z, static.video, static_iphone_320x480, video, mVp8
2022-03-11T16:20:41.828Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T16:14:48.020Z, static.video, static_iphone_320x480, video, mFSp79
2022-03-11T16:13:41.182Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T16:09:56.251Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T15:46:56.482Z, static.video, static_iphone_320x480, static, mFSp25
2022-03-11T15:45:49.053Z, static.video, static_iphone_320x480, video, mFSp40
2022-03-11T15:43:43.126Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T15:41:22.239Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T15:38:30.781Z, static.video, static_iphone_320x480, video, mFSp137
2022-03-11T15:35:26.239Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T15:09:16.876Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T15:06:21.997Z, static.video, static_iphone_320x480, static, mFSp24
2022-03-11T15:05:40.285Z, static.video, static_iphone_320x480, static, mFSp39
2022-03-11T15:01:43.249Z, static.video, interstitial, video, mFSp84
2022-03-11T15:01:19.757Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T14:59:26.953Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T14:52:18.602Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T14:50:55.842Z, static.video, static_iphone_320x480, video, mVp8
2022-03-11T14:50:04.175Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T14:39:06.075Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T14:38:30.591Z, static.video, static_iphone_320x480, video, mFSp39
2022-03-11T14:20:08.139Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T14:12:32.195Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-11T14:07:04.414Z, static.video, interstitial, video, mVp4
2022-03-11T14:04:47.452Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T13:59:24.469Z, static.video, interstitial, video, mVp10
2022-03-11T13:58:51.694Z, static.video, static_iphone_320x480, video, mFSp36
2022-03-11T13:56:29.580Z, static.video, interstitial, video, mFSp49
2022-03-11T13:56:01.450Z, static.video, static_iphone_320x480, video, mVp9
2022-03-11T13:37:27.069Z, static.video, static_iphone_320x480, video, mFSp29
2022-03-11T13:35:47.619Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T13:32:11.099Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T13:25:34.592Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-11T13:23:06.797Z, static.video, static_iphone_320x480, video, mFSp79
2022-03-11T13:21:04.833Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T13:19:23.111Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T13:18:38.660Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T13:12:31.346Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T13:05:41.644Z, static.video, static_iphone_320x480, video, mFSp21
2022-03-11T13:04:48.979Z, static.video, interstitial, video, mVp6
2022-03-11T13:01:39.911Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T12:54:16.184Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T12:53:37.621Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T12:50:52.938Z, static.video, static_iphone_320x480, static, mFSp25
2022-03-11T12:45:59.209Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-11T12:45:10.740Z, static.video, static_iphone_320x480, video, mFSp46
2022-03-11T12:33:42.272Z, static.video, static_iphone_320x480, video, mVp7
2022-03-11T12:29:32.280Z, static.video, static_iphone_320x480, static, mFSp25
2022-03-11T12:19:00.298Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T12:15:05.184Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T12:10:39.235Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T11:20:22.668Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T11:19:08.469Z, static.video, static_iphone_320x480, video, mVp7
2022-03-11T10:53:34.453Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T10:52:57.898Z, static.video, static_iphone_320x480, video, mFSp137
2022-03-11T10:44:53.810Z, static.video, interstitial, video, mFSp35
2022-03-11T10:32:49.743Z, static.video, interstitial, video, mFSp44
2022-03-11T10:21:41.141Z, static.video, static_iphone_320x480, video, mVp15
2022-03-11T10:05:53.788Z, static.video, interstitial, static, mFSp116
2022-03-11T10:02:36.799Z, static.video, static_iphone_320x480, video, mVp10
2022-03-11T09:50:19.838Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T08:58:47.173Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-11T08:42:21.380Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T08:22:12.309Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T08:16:47.165Z, static.video, static_iphone_320x480, static, mFSp137
2022-03-11T08:12:03.877Z, static.video, static_iphone_320x480, static, mFSp137
2022-03-11T08:03:00.859Z, static.video, static_iphone_320x480, video, mVp9
2022-03-11T07:49:34.318Z, static.video, static_iphone_320x480, video, mVp11
2022-03-11T07:47:07.991Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T07:31:37.578Z, static.video, static_iphone_320x480, video, mFSp21
2022-03-11T07:21:31.565Z, static.video, static_iphone_320x480, video, mFSp56
2022-03-11T07:17:10.184Z, static.video, static_iphone_320x480, static, mFSp41
2022-03-11T07:09:09.825Z, static.video, static_iphone_320x480, video, mFSp63
2022-03-11T07:06:05.362Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T07:01:38.796Z, static.video, static_iphone_320x480, video, mVp7
2022-03-11T06:58:28.758Z, static.video, interstitial, static, mFSp45
2022-03-11T06:55:25.937Z, static.video, static_iphone_320x480, video, mVp22
2022-03-11T06:42:06.631Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T06:38:49.770Z, static.video, interstitial, static, mFSp37
