publisher,count
mw-encyclopediabritannica,331016
dailymail-dailymailonlinemailonline,160416
tsm-nj1015,58757
tsm-newstalk1290,22858
timesofindia,19932
tsm-klaq,16657
tsm-97x,12937
tsm-wgrd,11494
tsm-buffalos937wblkthepeoplesstation,7488
tsm-1015wpdh,6978
tsm-1065wyrk,5588
tsm-tide1029,4996
tsm-loudwire,4113
tsm-xxlmag,3423
tsm-wjon1240,3164
tsm-wblm,3065
tsm-thegame730am,3003
tsm-gna,2942
tsm-973kkrc,2572
tsm-highway989,2442
tsm-fmx945,2397
tsm-wbck,2393
tsm-catcountry1029,2316
tsm-thedawg973,2162
tsm-khak981,1583
tsm-radiotexaslive,1477
tsm-k2,1202
tsm-newstalkkit,1172
tsm-ucr,1119
tsm-981minnesotasnewcountry,1112
tsm-mychannel957,1041
tsm-hudsonvalleypost,687
tsm-991wfmk,671
tsm-kicks105,670
tsm-knue1015easttexascountrystation,628
tsm-929jackfm,547
tsm-wkfr,480
publisher-test-server,142
tsm-thebeet,106
