publisher,count
timesofindia,12377.565975182482
mw-encyclopediabritannica,9052.142361111111
dailymail-dailymailonlinemailonline,8896.527778148651
tsm-nj1015,1008.1944444444445
tsm-newstalk1290,798.5138888888889
tsm-klaq,450.6701388888889
tsm-97x,425.2048611111111
tsm-buffalos937wblkthepeoplesstation,383.18055555555554
tsm-1065wyrk,345.27777777777777
tsm-1015wpdh,165.84375
tsm-gna,160.57291666666666
tsm-newstalkkit,151.95486111111111
tsm-khak981,150.87847222222223
tsm-highway989,139.0625
tsm-thegame730am,130.60069444444446
tsm-thedawg973,128.72916666666666
tsm-wjon1240,115.25694444444444
tsm-radiotexaslive,113.93055555555556
tsm-wblm,90.96875
tsm-tide1029,90.34962406015038
tsm-wbck,85.76041666666667
tsm-wgrd,84.52112676056338
tsm-catcountry1029,83.34220532319392
tsm-981minnesotasnewcountry,75.80208333333333
tsm-k2,73.22916666666667
tsm-973kkrc,64.07317073170732
tsm-fmx945,56.81944444444444
tsm-kicks105,51.13191489361702
tsm-991wfmk,49.62369337979094
tsm-knue1015easttexascountrystation,49.354166666666664
tsm-loudwire,40.58680555555556
tsm-xxlmag,35.15972222222222
tsm-929jackfm,31.172043010752688
tsm-hudsonvalleypost,26.415770609318997
tsm-mychannel957,21.857692307692307
tsm-ucr,18.01736111111111
tsm-wkfr,11.03211009174312
publisher-test-server,8.81081081081081
tsm-thebeet,4.32051282051282
